id,Churn,genero,tiene_mas_60,posee_pareja,posee_dependientes,tiempo_contrato,servicio_telefono,multiples_lineas,tipo_internet,seguridad_online,backup_online,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,tipo_contrato,factura_digital,metodo_pago,valor_mensual,total_cobrado,cuentas_diarias
0002-ORFBO,No,Femenino,No,Si,Si,9,Si,No,DSL,No,Si,No,Si,Si,No,Anual,Si,Cheque enviado por correo,65.6,593.3,2.1866666666666665
0003-MKNFE,No,Masculino,No,No,No,9,Si,Si,DSL,No,No,No,No,No,Si,Mensual,No,Cheque enviado por correo,59.9,542.4,1.9966666666666666
0004-TLHLJ,Si,Masculino,No,No,No,4,Si,No,Fibra óptica,No,No,Si,No,No,No,Mensual,Si,Cheque electrónico,73.9,280.85,2.4633333333333334
0011-IGKFF,Si,Masculino,Si,Si,No,13,Si,No,Fibra óptica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque electrónico,98.0,1237.85,3.2666666666666666
0013-EXCHZ,Si,Femenino,Si,Si,No,3,Si,No,Fibra óptica,No,No,No,Si,Si,No,Mensual,Si,Cheque enviado por correo,83.9,267.4,2.796666666666667
0013-MHZWF,No,Femenino,No,No,Si,9,Si,No,DSL,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de crédito (automático),69.4,571.45,2.3133333333333335
0013-SMEOE,No,Femenino,Si,Si,No,71,Si,No,Fibra óptica,Si,Si,Si,Si,Si,Si,Bienal,Si,Transferencia bancaria (automática),109.7,7904.25,3.6566666666666667
0014-BMAQU,No,Masculino,No,Si,No,63,Si,Si,Fibra óptica,Si,No,No,Si,No,No,Bienal,Si,Tarjeta de crédito (automático),84.65,5377.8,2.8216666666666668
0015-UOCOJ,No,Femenino,Si,No,No,7,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque electrónico,48.2,340.35,1.6066666666666667
0016-QLJIS,No,Femenino,No,Si,Si,65,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Bienal,Si,Cheque enviado por correo,90.45,5957.9,3.015
0017-DINOC,No,Masculino,No,No,No,54,No,Sin servicio de teléfono,DSL,Si,No,No,Si,Si,No,Bienal,No,Tarjeta de crédito (automático),45.2,2460.55,1.5066666666666668
0017-IUDMW,No,Femenino,No,Si,Si,72,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Bienal,Si,Tarjeta de crédito (automático),116.8,8456.75,3.893333333333333
0018-NYROU,No,Femenino,No,Si,No,5,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,68.95,351.5,2.2983333333333333
0019-EFAEP,No,Femenino,No,No,No,72,Si,Si,Fibra óptica,Si,Si,Si,No,Si,No,Bienal,Si,Transferencia bancaria (automática),101.3,7261.25,3.3766666666666665
0019-GFNTW,No,Femenino,No,No,No,56,No,Sin servicio de teléfono,DSL,Si,Si,Si,Si,No,No,Bienal,No,Transferencia bancaria (automática),45.05,2560.1,1.5016666666666665
0020-INWCK,No,Femenino,No,Si,Si,71,Si,Si,Fibra óptica,No,Si,Si,No,No,Si,Bienal,Si,Tarjeta de crédito (automático),95.75,6849.4,3.191666666666667
0020-JDNXP,No,Femenino,No,Si,Si,34,No,Sin servicio de teléfono,DSL,Si,No,Si,Si,Si,Si,Anual,No,Cheque enviado por correo,61.25,1993.2,2.0416666666666665
0021-IKXGC,No,Femenino,Si,No,No,1,Si,Si,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,72.1,72.1,2.4033333333333333
0022-TCJCI,Si,Masculino,Si,No,No,45,Si,No,DSL,Si,No,Si,No,No,Si,Anual,No,Tarjeta de crédito (automático),62.7,2791.5,2.0900000000000003
0023-HGHWL,Si,Masculino,Si,No,No,1,No,Sin servicio de teléfono,DSL,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,25.1,25.1,0.8366666666666667
0023-UYUPN,No,Femenino,Si,Si,No,50,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque electrónico,25.2,1306.3,0.84
0023-XUOPT,Si,Femenino,No,Si,No,13,Si,Si,Fibra óptica,No,Si,Si,No,Si,No,Mensual,No,Cheque electrónico,94.1,1215.6,3.1366666666666663
0027-KWYKW,No,Femenino,No,Si,Si,23,Si,Si,Fibra óptica,No,No,No,No,Si,No,Mensual,Si,Cheque electrónico,83.75,1849.95,2.7916666666666665
0030-FNXPP,No,Femenino,No,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque enviado por correo,19.85,57.2,0.6616666666666667
0031-PVLZI,Si,Femenino,No,Si,Si,4,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque enviado por correo,20.35,76.35,0.6783333333333333
0032-PGELS,Si,Femenino,No,Si,Si,1,No,Sin servicio de teléfono,DSL,Si,No,No,No,No,No,Mensual,No,Transferencia bancaria (automática),30.5,30.5,1.0166666666666666
0036-IHMOT,No,Femenino,No,Si,Si,55,Si,No,Fibra óptica,No,Si,Si,Si,Si,Si,Anual,Si,Transferencia bancaria (automática),103.7,5656.75,3.4566666666666666
0040-HALCW,No,Masculino,No,Si,Si,54,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Tarjeta de crédito (automático),20.4,1090.6,0.6799999999999999
0042-JVWOJ,No,Masculino,No,No,No,26,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Si,Transferencia bancaria (automática),19.6,471.85,0.6533333333333334
0042-RLHYP,No,Femenino,No,Si,Si,69,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Transferencia bancaria (automática),19.7,1396.9,0.6566666666666666
0048-LUMLS,No,Masculino,No,Si,Si,37,Si,No,Fibra óptica,No,No,No,No,Si,Si,Anual,No,Tarjeta de crédito (automático),91.2,3247.55,3.04
0048-PIHNL,No,Femenino,No,Si,No,49,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Transferencia bancaria (automática),20.45,900.9,0.6816666666666666
0052-DCKON,No,Masculino,No,Si,No,66,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Anual,No,Transferencia bancaria (automática),115.8,7942.15,3.86
0052-YNYOT,No,Femenino,No,No,No,67,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque electrónico,20.55,1343.4,0.685
0056-EPFBG,No,Masculino,No,Si,Si,20,No,Sin servicio de teléfono,DSL,Si,No,Si,Si,No,No,Bienal,Si,Tarjeta de crédito (automático),39.4,825.4,1.3133333333333332
0057-QBUQH,No,Femenino,No,No,Si,43,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,Si,Cheque electrónico,25.1,1070.15,0.8366666666666667
0058-EVZWM,No,Femenino,No,Si,No,55,Si,Si,Fibra óptica,Si,No,No,No,Si,No,Mensual,Si,Transferencia bancaria (automática),89.8,4959.6,2.993333333333333
0060-FUALY,No,Femenino,No,Si,No,59,Si,Si,Fibra óptica,Si,Si,No,No,Si,No,Mensual,Si,Cheque electrónico,94.75,5597.65,3.158333333333333
0064-SUDOG,No,Femenino,No,Si,Si,12,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Transferencia bancaria (automática),20.3,224.5,0.6766666666666666
0064-YIJGF,No,Masculino,No,Si,Si,27,Si,Si,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Transferencia bancaria (automática),75.75,1929.0,2.525
0067-DKWBL,Si,Masculino,Si,No,No,2,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque electrónico,49.25,91.1,1.6416666666666666
0068-FIGTF,No,Femenino,No,No,No,27,Si,No,DSL,No,Si,Si,Si,Si,Si,Anual,No,Cheque enviado por correo,78.2,2078.95,2.606666666666667
0071-NDAFP,No,Masculino,No,Si,Si,25,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Tarjeta de crédito (automático),25.5,630.6,0.85
0074-HDKDG,No,Masculino,No,Si,Si,25,Si,No,DSL,Si,Si,Si,No,No,No,Anual,Si,Transferencia bancaria (automática),61.6,1611.0,2.0533333333333332
0076-LVEPS,No,Masculino,No,No,Si,29,No,Sin servicio de teléfono,DSL,Si,Si,Si,Si,No,No,Mensual,Si,Cheque enviado por correo,45.0,1242.45,1.5
